Date,Price
2022-01-01,2066.061441707262
2022-01-02,2027.078849168279
2022-01-03,1952.832899625404
2022-01-04,2023.448799727514
2022-01-05,2021.5040026416928
2022-01-06,2001.5163753522268
2022-01-07,1987.4815960781416
2022-01-08,2114.558169079779
2022-01-09,1984.0984925121952
2022-01-10,2067.2115994667274
2022-01-11,2088.4820888451663
2022-01-12,2041.8369709599247
2022-01-13,2049.1925443818695
2022-01-14,1990.5259904038007
2022-01-15,2024.5610293436225
2022-01-16,2003.747826058042
2022-01-17,2109.58475499572
2022-01-18,2079.9825922135888
2022-01-19,2060.2642922193663
2022-01-20,2012.1189999460673
2022-01-21,2091.1985095607124
2022-01-22,2129.193697886523
2022-01-23,2119.4781868208966
2022-01-24,2137.7115261808813
2022-01-25,2050.9190814133426
2022-01-26,2115.363595320269
2022-01-27,2111.204689202829
2022-01-28,2181.842977798955
2022-01-29,2193.760117969862
2022-01-30,2192.298163246831
2022-01-31,2157.2505317231744
2022-02-01,2184.8293473191393
2022-02-02,2147.5433230998337
2022-02-03,2176.7547790915405
2022-02-04,2092.44172029444
2022-02-05,2138.2902451046843
2022-02-06,2250.6151007232584
2022-02-07,2170.761265925002
2022-02-08,2164.4753926257245
2022-02-09,2170.433602831961
2022-02-10,2233.610766674768
2022-02-11,2200.587031473835
2022-02-12,2330.562982088404
2022-02-13,2208.6949544563176
2022-02-14,2282.868541735634
2022-02-15,2288.3061712285607
2022-02-16,2193.8653697565082
2022-02-17,2243.7749260945425
2022-02-18,2220.582342822245
2022-02-19,2198.7151334752807
2022-02-20,2286.478069519811
2022-02-21,2298.757805448136
2022-02-22,2299.285945057652
2022-02-23,2307.2814753366206
2022-02-24,2235.021761314352
2022-02-25,2246.9866559739876
2022-02-26,2259.0216871587245
2022-02-27,2351.340751515106
2022-02-28,2305.010555022327
2022-03-01,2259.184317380534
2022-03-02,2255.4808561186023
2022-03-03,2284.2047122493505
2022-03-04,2275.1873317292093
2022-03-05,2330.6475333533135
2022-03-06,2434.1925908660232
2022-03-07,2325.9940671148283
2022-03-08,2300.043041423294
2022-03-09,2321.5452040941054
2022-03-10,2308.377543003881
2022-03-11,2269.1948418618363
2022-03-12,2237.247793236435
2022-03-13,2335.07507606329
2022-03-14,2225.155216556502
2022-03-15,2357.8330956710884
2022-03-16,2300.099588944579
2022-03-17,2335.52588032043
2022-03-18,2373.6018213126026
2022-03-19,2310.232332599768
2022-03-20,2443.601698316106
2022-03-21,2275.88661516478
2022-03-22,2368.8100729563885
2022-03-23,2359.6913551947655
2022-03-24,2344.6324563685207
2022-03-25,2324.615911886223
2022-03-26,2302.314652497719
2022-03-27,2308.6357366327284
2022-03-28,2322.668650419347
2022-03-29,2386.9757277473327
2022-03-30,2396.263744821996
2022-03-31,2332.7870120297835
2022-04-01,2325.4555971156055
2022-04-02,2358.3159649938907
2022-04-03,2291.038786574617
2022-04-04,2340.923837198925
2022-04-05,2369.0891627555984
2022-04-06,2315.3536565745317
2022-04-07,2383.1108764401934
2022-04-08,2312.661320722275
2022-04-09,2290.555738038994
2022-04-10,2297.8904453342643
2022-04-11,2228.6883804001122
2022-04-12,2364.565343901415
2022-04-13,2460.5719690838287
2022-04-14,2336.1349958790784
2022-04-15,2446.776089701341
2022-04-16,2459.1998743916283
2022-04-17,2255.1942341757726
2022-04-18,2412.329402802188
2022-04-19,2326.623824143987
2022-04-20,2307.476223657573
2022-04-21,2337.232391807296
2022-04-22,2293.0865014689807
2022-04-23,2345.3981292851977
2022-04-24,2290.46386877968
2022-04-25,2403.558557688857
2022-04-26,2260.782484871441
2022-04-27,2311.427503801296
2022-04-28,2309.791558119798
2022-04-29,2366.6987922714516
2022-04-30,2281.8689498593358
2022-05-01,2403.159804169228
2022-05-02,2341.2975325431175
2022-05-03,2324.5036904384774
2022-05-04,2293.747115032757
2022-05-05,2304.50550495753
2022-05-06,2418.7844187395367
2022-05-07,2390.5394379161285
2022-05-08,2406.895857733494
2022-05-09,2249.3487888566424
2022-05-10,2218.37849521826
2022-05-11,2318.9128131862167
2022-05-12,2278.190442480706
2022-05-13,2281.7122330460656
2022-05-14,2304.473645580467
2022-05-15,2321.9460980981958
2022-05-16,2286.913959769779
2022-05-17,2325.709659358064
2022-05-18,2340.2941811549886
2022-05-19,2219.490151512072
2022-05-20,2324.4155652546124
2022-05-21,2290.501068438093
2022-05-22,2277.6964240973784
2022-05-23,2208.2331297207434
2022-05-24,2226.890970760776
2022-05-25,2213.7097695305356
2022-05-26,2270.7915318596906
2022-05-27,2251.395784162507
2022-05-28,2268.024903618718
2022-05-29,2198.718835375076
2022-05-30,2210.1834081431775
2022-05-31,2270.428715152169
2022-06-01,2304.014546181528
2022-06-02,2312.496322086512
2022-06-03,2236.841758707934
2022-06-04,2116.20261690422
2022-06-05,2210.1356152543485
2022-06-06,2178.309402564536
2022-06-07,2278.9788966442716
2022-06-08,2216.9183912277904
2022-06-09,2292.338685738647
2022-06-10,2280.3155590434408
2022-06-11,2158.607514793773
2022-06-12,2245.4601622829073
2022-06-13,2162.6548095652893
2022-06-14,2192.654706623429
2022-06-15,2079.093769255131
2022-06-16,2172.3590418046356
2022-06-17,2101.2884396731406
2022-06-18,2158.2525836506115
2022-06-19,2090.24364955808
2022-06-20,2170.0824928855695
2022-06-21,2053.6714427360403
2022-06-22,2063.7879234866737
2022-06-23,2161.7259766456473
2022-06-24,2177.327865114817
2022-06-25,2158.3532138269597
2022-06-26,2073.160243973436
2022-06-27,2171.9173742974267
2022-06-28,2180.049427779392
2022-06-29,2145.215799162903
2022-06-30,2105.6821290530524
2022-07-01,2129.6872444207397
2022-07-02,2082.6389242676532
2022-07-03,2046.7006178591391
2022-07-04,1995.1884877376583
2022-07-05,2122.7280786091073
2022-07-06,2083.241594331277
2022-07-07,2086.4085340298143
2022-07-08,2052.591114460119
2022-07-09,2088.2296861620744
2022-07-10,2091.4273672897225
2022-07-11,2050.1644760514237
2022-07-12,2025.0396287529188
2022-07-13,2058.749950259757
2022-07-14,2077.7795308981777
2022-07-15,2064.0082495644697
2022-07-16,2094.372557915375
2022-07-17,2085.427962581072
2022-07-18,2017.897213504941
2022-07-19,2005.8425097630952
2022-07-20,2085.2770820998808
2022-07-21,1975.576709230574
2022-07-22,1945.8230508331967
2022-07-23,2021.463357658471
2022-07-24,2099.6538763744857
2022-07-25,1891.9897842584421
2022-07-26,2027.8651682314771
2022-07-27,1891.6673555461177
2022-07-28,1993.039808354286
2022-07-29,2046.498059367152
2022-07-30,1937.419299455478
2022-07-31,1953.04725417547
2022-08-01,2038.0495204575734
2022-08-02,1929.6517707603202
2022-08-03,1967.624818513477
2022-08-04,1951.4267442331234
2022-08-05,1897.6419111243424
2022-08-06,1890.2491242254505
2022-08-07,1951.363977368465
2022-08-08,1905.5581170645341
2022-08-09,1914.8041058703798
2022-08-10,1883.0850447125931
2022-08-11,1924.4038181924507
2022-08-12,1960.8008695027017
